Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Sat Nov 26 2016,7:00 pm,New York Knicks,,Charlotte Hornets,,,,
Sat Nov 26 2016,10:30 pm,Minnesota Timberwolves,,Golden State Warriors,,,,
Sat Nov 26 2016,8:00 pm,Memphis Grizzlies,,Miami Heat,,,,
Sat Nov 26 2016,8:00 pm,Detroit Pistons,,Oklahoma City Thunder,,,,
Sat Nov 26 2016,7:00 pm,San Antonio Spurs,,Washington Wizards,,,,
Sun Nov 27 2016,6:00 pm,Sacramento Kings,,Brooklyn Nets,,,,
Sun Nov 27 2016,7:00 pm,New Orleans Pelicans,,Dallas Mavericks,,,,
Sun Nov 27 2016,6:00 pm,Los Angeles Clippers,,Indiana Pacers,,,,
Sun Nov 27 2016,9:30 pm,Atlanta Hawks,,Los Angeles Lakers,,,,
Sun Nov 27 2016,6:00 pm,Milwaukee Bucks,,Orlando Magic,,,,
Sun Nov 27 2016,1:00 pm,Cleveland Cavaliers,,Philadelphia 76ers,,,,
Sun Nov 27 2016,3:30 pm,Denver Nuggets,,Phoenix Suns,,,,
Sun Nov 27 2016,9:00 pm,Houston Rockets,,Portland Trail Blazers,,,,
Mon Nov 28 2016,10:30 pm,Atlanta Hawks,,Golden State Warriors,,,,
Mon Nov 28 2016,8:00 pm,Charlotte Hornets,,Memphis Grizzlies,,,,
Mon Nov 28 2016,7:30 pm,Boston Celtics,,Miami Heat,,,,
Mon Nov 28 2016,8:00 pm,Utah Jazz,,Minnesota Timberwolves,,,,
Mon Nov 28 2016,7:30 pm,Oklahoma City Thunder,,New York Knicks,,,,
Mon Nov 28 2016,7:30 pm,Philadelphia 76ers,,Toronto Raptors,,,,
Mon Nov 28 2016,7:00 pm,Sacramento Kings,,Washington Wizards,,,,
Tue Nov 29 2016,7:30 pm,Los Angeles Clippers,,Brooklyn Nets,,,,
Tue Nov 29 2016,7:00 pm,Detroit Pistons,,Charlotte Hornets,,,,
Tue Nov 29 2016,8:00 pm,Cleveland Cavaliers,,Milwaukee Bucks,,,,
Tue Nov 29 2016,8:00 pm,Los Angeles Lakers,,New Orleans Pelicans,,,,
Tue Nov 29 2016,8:30 pm,Orlando Magic,,San Antonio Spurs,,,,
Tue Nov 29 2016,9:00 pm,Houston Rockets,,Utah Jazz,,,,
Wed Nov 30 2016,7:30 pm,Detroit Pistons,,Boston Celtics,,,,
Wed Nov 30 2016,8:00 pm,Los Angeles Lakers,,Chicago Bulls,,,,
Wed Nov 30 2016,8:30 pm,San Antonio Spurs,,Dallas Mavericks,,,,
Wed Nov 30 2016,9:00 pm,Miami Heat,,Denver Nuggets,,,,
Wed Nov 30 2016,8:00 pm,New York Knicks,,Minnesota Timberwolves,,,,
Wed Nov 30 2016,8:00 pm,Washington Wizards,,Oklahoma City Thunder,,,,
Wed Nov 30 2016,7:00 pm,Sacramento Kings,,Philadelphia 76ers,,,,
Wed Nov 30 2016,9:00 pm,Atlanta Hawks,,Phoenix Suns,,,,
Wed Nov 30 2016,10:00 pm,Indiana Pacers,,Portland Trail Blazers,,,,
Wed Nov 30 2016,7:30 pm,Memphis Grizzlies,,Toronto Raptors,,,,
Thu Dec 1 2016,7:30 pm,Milwaukee Bucks,,Brooklyn Nets,,,,
Thu Dec 1 2016,7:00 pm,Dallas Mavericks,,Charlotte Hornets,,,,
Thu Dec 1 2016,8:00 pm,Los Angeles Clippers,,Cleveland Cavaliers,,,,
